Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-luxottica-eyewear-ig.json	1947	-	0	0	0	0	0	0	11	125	0	0	0	0	0	0	0	0	0	0	0	79	90	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-frame-styles.json	996	3	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	16	120	0	0	0	1	0	0
fsh-generated/resources/Patient-PatientExample.json	265	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	613	2	0	50	0	0	0	0	0	423	0	0	0	0	0	0	0	1	0	0	0	203	1083	0	0	0	10	0	2
fsh-generated/resources/ValueSet-frame-styles-vs.json	362	2	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	0	12	94	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	184	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1043	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	79	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	4169	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
